"FL_IDs"	"Drug"	"Type"	"Collapsed_Cells"
"2538"	"ammonium-glycyrrhizinate$FL2"	"ammonium-glycyrrhizinate"	"Signature_Correlation"	"HELA|HT29|MCF7"
"1707"	"bemegride$FL1"	"bemegride"	"Signature_Correlation"	"A375|HT29|MCF7|PC3"
"2539"	"bemegride$FL2"	"bemegride"	"Signature_Correlation"	"HA1E|HELA|YAPC"
"1708"	"berberine$FL1"	"berberine"	"Signature_Correlation"	"A375|HELA|MCF7"
"2540"	"berberine$FL2"	"berberine"	"Signature_Correlation"	"HA1E|HT29|PC3|YAPC"
"1709"	"bitopertin$FL1"	"bitopertin"	"Signature_Correlation"	"A375|HT29|MCF7|PC3|YAPC"
"1710"	"BMS-599626$FL1"	"BMS-599626"	"Signature_Correlation"	"A375|HA1E|HT29|MCF7"
"2541"	"BMS-599626$FL2"	"BMS-599626"	"Signature_Correlation"	"HELA|PC3|YAPC"
"2542"	"BMY-14802$FL1"	"BMY-14802"	"Signature_Correlation"	"HELA|HT29|MCF7|PC3|YAPC"
"1711"	"bopindolol$FL1"	"bopindolol"	"Signature_Correlation"	"A375|HT29|YAPC"
"2543"	"bopindolol$FL2"	"bopindolol"	"Signature_Correlation"	"HA1E|HELA|MCF7|PC3"
"1712"	"bupropion$FL1"	"bupropion"	"Signature_Correlation"	"A375|MCF7|YAPC"
"2544"	"bupropion$FL2"	"bupropion"	"Signature_Correlation"	"HA1E|HELA|PC3"
"1713"	"cabazitaxel$FL1"	"cabazitaxel"	"Signature_Correlation"	"A375|HA1E|HELA|HT29|MCF7|PC3"
"1714"	"carfilzomib$FL1"	"carfilzomib"	"Signature_Correlation"	"A375|PC3|YAPC"
"2545"	"carfilzomib$FL2"	"carfilzomib"	"Signature_Correlation"	"HA1E|HELA|HT29|MCF7"
"1715"	"cefepime$FL1"	"cefepime"	"Signature_Correlation"	"A375|HELA|HT29|MCF7|PC3|YAPC"
"1716"	"chlorphenamine$FL1"	"chlorphenamine"	"Signature_Correlation"	"A375|HELA|MCF7"
"2546"	"chlorphenamine$FL2"	"chlorphenamine"	"Signature_Correlation"	"HA1E|HT29|PC3|YAPC"
"1717"	"cinnarizine$FL1"	"cinnarizine"	"Signature_Correlation"	"A375|HELA|HT29|PC3"
"2547"	"cinnarizine$FL2"	"cinnarizine"	"Signature_Correlation"	"HA1E|MCF7|YAPC"
"1718"	"cinoxacin$FL1"	"cinoxacin"	"Signature_Correlation"	"A375|HT29|MCF7|PC3|YAPC"
"1719"	"ciprofloxacin$FL1"	"ciprofloxacin"	"Signature_Correlation"	"A375|HELA|PC3"
"2548"	"ciprofloxacin$FL2"	"ciprofloxacin"	"Signature_Correlation"	"HA1E|HT29|MCF7"
"1720"	"cisapride$FL1"	"cisapride"	"Signature_Correlation"	"A375|HELA|MCF7"
"2549"	"cisapride$FL2"	"cisapride"	"Signature_Correlation"	"HA1E|PC3|YAPC"
"1721"	"clemizole$FL1"	"clemizole"	"Signature_Correlation"	"A375|MCF7|PC3|YAPC"
"2550"	"clemizole$FL2"	"clemizole"	"Signature_Correlation"	"HA1E|HELA|HT29"
"1722"	"CPI-613$FL1"	"CPI-613"	"Signature_Correlation"	"A375|HA1E|MCF7|YAPC"
"2551"	"CPI-613$FL2"	"CPI-613"	"Signature_Correlation"	"HELA|HT29|PC3"
"1723"	"dapivirine$FL1"	"dapivirine"	"Signature_Correlation"	"A375|HELA|MCF7"
"2552"	"dapivirine$FL2"	"dapivirine"	"Signature_Correlation"	"HA1E|HT29|PC3|YAPC"
"1724"	"deferiprone$FL1"	"deferiprone"	"Signature_Correlation"	"A375|HELA|HT29|PC3|YAPC"
"1725"	"desoxypeganine$FL1"	"desoxypeganine"	"Signature_Correlation"	"A375|HELA|HT29|YAPC"
"2553"	"desoxypeganine$FL2"	"desoxypeganine"	"Signature_Correlation"	"HA1E|MCF7|PC3"
"1726"	"dicloxacillin$FL1"	"dicloxacillin"	"Signature_Correlation"	"A375|HA1E|HELA|PC3"
"2554"	"dicloxacillin$FL2"	"dicloxacillin"	"Signature_Correlation"	"HT29|MCF7|YAPC"
"1727"	"docetaxel$FL1"	"docetaxel"	"Signature_Correlation"	"A375|HA1E|YAPC"
"2555"	"docetaxel$FL2"	"docetaxel"	"Signature_Correlation"	"HELA|HT29|MCF7|PC3"
"1728"	"dofequidar$FL1"	"dofequidar"	"Signature_Correlation"	"A375|HELA|HT29|MCF7|PC3|YAPC"
"1729"	"doxazosin$FL1"	"doxazosin"	"Signature_Correlation"	"A375|HELA|MCF7"
"3226"	"doxazosin$FL2"	"doxazosin"	"Signature_Correlation"	"HT29|PC3|YAPC"
"1730"	"dronedarone$FL1"	"dronedarone"	"Signature_Correlation"	"A375|HELA|PC3"
"3227"	"dronedarone$FL2"	"dronedarone"	"Signature_Correlation"	"HT29|MCF7|YAPC"
"1731"	"emedastine$FL1"	"emedastine"	"Signature_Correlation"	"A375|HELA|HT29|MCF7"
"2556"	"emedastine$FL2"	"emedastine"	"Signature_Correlation"	"HA1E|PC3|YAPC"
"2557"	"esmolol$FL1"	"esmolol"	"Signature_Correlation"	"HA1E|HELA|MCF7|PC3|YAPC"
"1732"	"exalamide$FL1"	"exalamide"	"Signature_Correlation"	"A375|HT29|YAPC"
"2558"	"exalamide$FL2"	"exalamide"	"Signature_Correlation"	"HA1E|HELA|MCF7|PC3"
"1733"	"favipiravir$FL1"	"favipiravir"	"Signature_Correlation"	"A375|HA1E|HELA"
"2559"	"favipiravir$FL2"	"favipiravir"	"Signature_Correlation"	"HT29|MCF7|PC3|YAPC"
"1734"	"fiacitabine$FL1"	"fiacitabine"	"Signature_Correlation"	"A375|HT29|YAPC"
"2560"	"fiacitabine$FL2"	"fiacitabine"	"Signature_Correlation"	"HA1E|HELA|MCF7|PC3"
"1735"	"fluconazole$FL1"	"fluconazole"	"Signature_Correlation"	"A375|HA1E|MCF7|YAPC"
"2561"	"fluconazole$FL2"	"fluconazole"	"Signature_Correlation"	"HELA|HT29|PC3"
"2562"	"fluocinolone-acetonide$FL1"	"fluocinolone-acetonide"	"Signature_Correlation"	"HA1E|PC3|YAPC"
"3228"	"fluocinolone-acetonide$FL2"	"fluocinolone-acetonide"	"Signature_Correlation"	"HELA|HT29|MCF7"
"1736"	"fluorometholone$FL1"	"fluorometholone"	"Signature_Correlation"	"A375|HA1E|HELA|PC3|YAPC"
"2563"	"fusidic-acid$FL1"	"fusidic-acid"	"Signature_Correlation"	"HA1E|PC3|YAPC"
"3229"	"fusidic-acid$FL2"	"fusidic-acid"	"Signature_Correlation"	"HELA|HT29|MCF7"
"2564"	"gemcitabine$FL1"	"gemcitabine"	"Signature_Correlation"	"HA1E|HELA|HT29|MCF7|PC3"
"1737"	"glipizide$FL1"	"glipizide"	"Signature_Correlation"	"A375|HELA|HT29|MCF7"
"2565"	"glipizide$FL2"	"glipizide"	"Signature_Correlation"	"HA1E|PC3|YAPC"
"1738"	"griseofulvin$FL1"	"griseofulvin"	"Signature_Correlation"	"A375|HA1E|HELA|MCF7|YAPC"
"2566"	"guanadrel$FL1"	"guanadrel"	"Signature_Correlation"	"HA1E|HELA|HT29|MCF7|PC3"
"1739"	"iguratimod$FL1"	"iguratimod"	"Signature_Correlation"	"A375|HELA|HT29|MCF7|PC3|YAPC"
"1740"	"isbufylline$FL1"	"isbufylline"	"Signature_Correlation"	"A375|HA1E|HT29|MCF7|YAPC"
"1741"	"ixabepilone$FL1"	"ixabepilone"	"Signature_Correlation"	"A375|HA1E|YAPC"
"2567"	"ixabepilone$FL2"	"ixabepilone"	"Signature_Correlation"	"HELA|HT29|MCF7"
"2568"	"kakonein$FL1"	"kakonein"	"Signature_Correlation"	"HA1E|HELA|HT29|PC3"
"3230"	"L-citrulline$FL1"	"L-citrulline"	"Signature_Correlation"	"MCF7|PC3|YAPC"
"1742"	"labetalol$FL1"	"labetalol"	"Signature_Correlation"	"A375|HELA|HT29"
"2569"	"labetalol$FL2"	"labetalol"	"Signature_Correlation"	"HA1E|MCF7|PC3|YAPC"
"2570"	"ledipasvir$FL1"	"ledipasvir"	"Signature_Correlation"	"HA1E|HT29|MCF7|PC3|YAPC"
"2571"	"lisofylline$FL1"	"lisofylline"	"Signature_Correlation"	"HA1E|HELA|HT29|MCF7|PC3"
"1743"	"lorazepam$FL1"	"lorazepam"	"Signature_Correlation"	"A375|HT29|PC3|YAPC"
"2572"	"lorazepam$FL2"	"lorazepam"	"Signature_Correlation"	"HA1E|HELA|MCF7"
"1744"	"luteolin$FL1"	"luteolin"	"Signature_Correlation"	"A375|HA1E|HT29|YAPC"
"2573"	"luteolin$FL2"	"luteolin"	"Signature_Correlation"	"HELA|MCF7|PC3"
"1745"	"LY-2334737$FL1"	"LY-2334737"	"Signature_Correlation"	"A375|HELA|HT29"
"2574"	"LY-2334737$FL2"	"LY-2334737"	"Signature_Correlation"	"HA1E|MCF7|PC3"
"1746"	"maraviroc$FL1"	"maraviroc"	"Signature_Correlation"	"A375|HA1E|PC3|YAPC"
"2575"	"maraviroc$FL2"	"maraviroc"	"Signature_Correlation"	"HELA|HT29|MCF7"
"1747"	"meisoindigo$FL1"	"meisoindigo"	"Signature_Correlation"	"A375|HA1E|HELA|HT29|MCF7|PC3"
"1748"	"mestranol$FL1"	"mestranol"	"Signature_Correlation"	"A375|HA1E|HELA|HT29|MCF7"
"1749"	"methazolamide$FL1"	"methazolamide"	"Signature_Correlation"	"A375|HA1E|HELA|MCF7|PC3"
"1750"	"metoprolol$FL1"	"metoprolol"	"Signature_Correlation"	"A375|HELA|PC3"
"3231"	"metoprolol$FL2"	"metoprolol"	"Signature_Correlation"	"HT29|MCF7|YAPC"
"1751"	"midostaurin$FL1"	"midostaurin"	"Signature_Correlation"	"A375|HA1E|HELA|HT29|MCF7|PC3"
"2576"	"milnacipran$FL1"	"milnacipran"	"Signature_Correlation"	"HELA|HT29|MCF7|PC3|YAPC"
"1752"	"minoxidil$FL1"	"minoxidil"	"Signature_Correlation"	"A375|HA1E|HT29|PC3|YAPC"
"1753"	"MK-0812$FL1"	"MK-0812"	"Signature_Correlation"	"A375|HELA|MCF7|PC3"
"2577"	"MK-0812$FL2"	"MK-0812"	"Signature_Correlation"	"HA1E|HT29|YAPC"
"1754"	"moclobemide$FL1"	"moclobemide"	"Signature_Correlation"	"A375|HA1E|MCF7|YAPC"
"2578"	"moclobemide$FL2"	"moclobemide"	"Signature_Correlation"	"HELA|HT29|PC3"
"1755"	"nafamostat$FL1"	"nafamostat"	"Signature_Correlation"	"A375|HA1E|YAPC"
"2579"	"nafamostat$FL2"	"nafamostat"	"Signature_Correlation"	"HELA|HT29|MCF7"
"1756"	"nebivolol$FL1"	"nebivolol"	"Signature_Correlation"	"A375|HT29|MCF7|YAPC"
"2580"	"nebivolol$FL2"	"nebivolol"	"Signature_Correlation"	"HA1E|HELA|PC3"
"1757"	"nepafenac$FL1"	"nepafenac"	"Signature_Correlation"	"A375|HA1E|HELA"
"2581"	"nepafenac$FL2"	"nepafenac"	"Signature_Correlation"	"HT29|PC3|YAPC"
"1758"	"nicotine$FL1"	"nicotine"	"Signature_Correlation"	"A375|HA1E|HELA|HT29|YAPC"
"1759"	"norgestrel$FL1"	"norgestrel"	"Signature_Correlation"	"A375|HT29|MCF7|PC3|YAPC"
"1760"	"nutlin-3$FL1"	"nutlin-3"	"Signature_Correlation"	"A375|HT29|MCF7|PC3|YAPC"
"1761"	"oxybuprocaine$FL1"	"oxybuprocaine"	"Signature_Correlation"	"A375|HELA|PC3"
"2582"	"oxybuprocaine$FL2"	"oxybuprocaine"	"Signature_Correlation"	"HA1E|HT29|YAPC"
"1762"	"PCI-24781$FL1"	"PCI-24781"	"Signature_Correlation"	"A375|HA1E|HELA"
"3232"	"PCI-24781$FL2"	"PCI-24781"	"Signature_Correlation"	"MCF7|PC3|YAPC"
"1763"	"penfluridol$FL1"	"penfluridol"	"Signature_Correlation"	"A375|PC3|YAPC"
"3233"	"penfluridol$FL2"	"penfluridol"	"Signature_Correlation"	"HELA|HT29|MCF7"
"1764"	"pentamidine$FL1"	"pentamidine"	"Signature_Correlation"	"A375|HA1E|HELA|PC3"
"2583"	"pentamidine$FL2"	"pentamidine"	"Signature_Correlation"	"HT29|MCF7|YAPC"
"1765"	"PF-04691502$FL1"	"PF-04691502"	"Signature_Correlation"	"A375|HT29|MCF7|PC3|YAPC"
"1766"	"pomalidomide$FL1"	"pomalidomide"	"Signature_Correlation"	"A375|HT29|MCF7"
"2584"	"pomalidomide$FL2"	"pomalidomide"	"Signature_Correlation"	"HA1E|HELA|YAPC"
"1767"	"pramipexole$FL1"	"pramipexole"	"Signature_Correlation"	"A375|HA1E|PC3|YAPC"
"2585"	"pramipexole$FL2"	"pramipexole"	"Signature_Correlation"	"HELA|HT29|MCF7"
"1768"	"PSI-7976$FL1"	"PSI-7976"	"Signature_Correlation"	"A375|HA1E|HELA"
"2586"	"PSI-7976$FL2"	"PSI-7976"	"Signature_Correlation"	"HT29|MCF7|PC3|YAPC"
"1769"	"R-428$FL1"	"R-428"	"Signature_Correlation"	"A375|HA1E|HELA|PC3|YAPC"
"2587"	"raclopride$FL1"	"raclopride"	"Signature_Correlation"	"HA1E|HELA|HT29|MCF7|PC3"
"1770"	"rilmenidine$FL1"	"rilmenidine"	"Signature_Correlation"	"A375|HELA|HT29|MCF7"
"2588"	"rilmenidine$FL2"	"rilmenidine"	"Signature_Correlation"	"HA1E|PC3|YAPC"
"1771"	"rilpivirine$FL1"	"rilpivirine"	"Signature_Correlation"	"A375|HELA|HT29|PC3|YAPC"
"1772"	"rimonabant$FL1"	"rimonabant"	"Signature_Correlation"	"A375|HELA|HT29|MCF7|PC3"
"2589"	"sulbutiamine$FL1"	"sulbutiamine"	"Signature_Correlation"	"HA1E|HELA|HT29|PC3|YAPC"
"1773"	"swainsonine$FL1"	"swainsonine"	"Signature_Correlation"	"A375|HELA|MCF7|PC3|YAPC"
"1774"	"tasquinimod$FL1"	"tasquinimod"	"Signature_Correlation"	"A375|HT29|MCF7|PC3|YAPC"
"2590"	"tebipenem$FL1"	"tebipenem"	"Signature_Correlation"	"HA1E|HELA|HT29|MCF7|PC3"
"1775"	"telmesteine$FL1"	"telmesteine"	"Signature_Correlation"	"A375|HELA|HT29|PC3"
"1776"	"TG-100801$FL1"	"TG-100801"	"Signature_Correlation"	"A375|PC3|YAPC"
"2591"	"TG-100801$FL2"	"TG-100801"	"Signature_Correlation"	"HA1E|HT29|MCF7"
"1777"	"tipiracil$FL1"	"tipiracil"	"Signature_Correlation"	"A375|HELA|HT29|MCF7|PC3|YAPC"
"2592"	"tizanidine$FL1"	"tizanidine"	"Signature_Correlation"	"HA1E|HT29|YAPC"
"3234"	"tizanidine$FL2"	"tizanidine"	"Signature_Correlation"	"HELA|MCF7|PC3"
"1778"	"trimethoprim$FL1"	"trimethoprim"	"Signature_Correlation"	"A375|HELA|HT29|PC3|YAPC"
"1779"	"troglitazone$FL1"	"troglitazone"	"Signature_Correlation"	"A375|HT29|PC3|YAPC"
"2593"	"troglitazone$FL2"	"troglitazone"	"Signature_Correlation"	"HA1E|HELA|MCF7"
"1780"	"UK-383367$FL1"	"UK-383367"	"Signature_Correlation"	"A375|HELA|YAPC"
"2594"	"UK-383367$FL2"	"UK-383367"	"Signature_Correlation"	"HA1E|HT29|MCF7|PC3"
"1781"	"valdecoxib$FL1"	"valdecoxib"	"Signature_Correlation"	"A375|HA1E|HELA|HT29|MCF7"
"1782"	"vardenafil$FL1"	"vardenafil"	"Signature_Correlation"	"A375|HELA|HT29|MCF7|PC3"
"1783"	"voriconazole$FL1"	"voriconazole"	"Signature_Correlation"	"A375|HA1E|HT29|MCF7"
"2595"	"XL-888$FL1"	"XL-888"	"Signature_Correlation"	"HT29|MCF7|YAPC"
"2596"	"YM-976$FL1"	"YM-976"	"Signature_Correlation"	"HELA|HT29|MCF7|PC3|YAPC"
"1784"	"3,3'-diindolylmethane$FL1"	"3,3'-diindolylmethane"	"Signature_Correlation"	"A375|HA1E|HT29|MCF7|PC3"
"1785"	"acarbose$FL1"	"acarbose"	"Signature_Correlation"	"A375|HELA|MCF7|PC3"
"2597"	"acarbose$FL2"	"acarbose"	"Signature_Correlation"	"HA1E|HT29|YAPC"
"1786"	"adarotene$FL1"	"adarotene"	"Signature_Correlation"	"A375|HA1E|YAPC"
"2598"	"adarotene$FL2"	"adarotene"	"Signature_Correlation"	"HELA|MCF7|PC3"
"1787"	"adenosine$FL1"	"adenosine"	"Signature_Correlation"	"A375|HELA|MCF7|PC3|YAPC"
"1788"	"AICA-ribonucleotide$FL1"	"AICA-ribonucleotide"	"Signature_Correlation"	"A375|MCF7|PC3"
"2599"	"AICA-ribonucleotide$FL2"	"AICA-ribonucleotide"	"Signature_Correlation"	"HA1E|HELA|HT29"
"1789"	"alizapride$FL1"	"alizapride"	"Signature_Correlation"	"A375|HT29|MCF7|PC3|YAPC"
"1790"	"altanserin$FL1"	"altanserin"	"Signature_Correlation"	"A375|HA1E|MCF7"
"2600"	"altanserin$FL2"	"altanserin"	"Signature_Correlation"	"HELA|HT29|PC3|YAPC"
"1791"	"ambrisentan$FL1"	"ambrisentan"	"Signature_Correlation"	"A375|HA1E|HELA|PC3"
"2601"	"ambrisentan$FL2"	"ambrisentan"	"Signature_Correlation"	"HT29|MCF7|YAPC"
"1792"	"AMD-11070$FL1"	"AMD-11070"	"Signature_Correlation"	"A375|HT29|MCF7|YAPC"
"2602"	"AMD-11070$FL2"	"AMD-11070"	"Signature_Correlation"	"HA1E|HELA|PC3"
"2603"	"amoxapine$FL1"	"amoxapine"	"Signature_Correlation"	"HT29|MCF7|YAPC"
"1793"	"anamorelin$FL1"	"anamorelin"	"Signature_Correlation"	"A375|HELA|MCF7|PC3"
"2604"	"anamorelin$FL2"	"anamorelin"	"Signature_Correlation"	"HA1E|HT29|YAPC"
"1794"	"anandamide$FL1"	"anandamide"	"Signature_Correlation"	"A375|MCF7|PC3"
"3235"	"anandamide$FL2"	"anandamide"	"Signature_Correlation"	"HELA|HT29|YAPC"
"1795"	"atipamezole$FL1"	"atipamezole"	"Signature_Correlation"	"A375|HT29|MCF7|PC3|YAPC"
"1796"	"ATN-161$FL1"	"ATN-161"	"Signature_Correlation"	"A375|HA1E|HELA"
"2605"	"ATN-161$FL2"	"ATN-161"	"Signature_Correlation"	"HT29|MCF7|PC3|YAPC"
"1797"	"balaglitazone$FL1"	"balaglitazone"	"Signature_Correlation"	"A375|HA1E|HT29|MCF7|PC3"
"1798"	"balsalazide$FL1"	"balsalazide"	"Signature_Correlation"	"A375|HA1E|HELA|HT29"
"2606"	"balsalazide$FL2"	"balsalazide"	"Signature_Correlation"	"MCF7|PC3|YAPC"
"1799"	"betulinic-acid$FL1"	"betulinic-acid"	"Signature_Correlation"	"A375|HELA|HT29|YAPC"
"2607"	"betulinic-acid$FL2"	"betulinic-acid"	"Signature_Correlation"	"HA1E|MCF7|PC3"
"1800"	"biperiden$FL1"	"biperiden"	"Signature_Correlation"	"A375|HA1E|HT29"
"2608"	"biperiden$FL2"	"biperiden"	"Signature_Correlation"	"HELA|PC3|YAPC"
"2609"	"BMS-299897$FL1"	"BMS-299897"	"Signature_Correlation"	"HA1E|HELA|HT29|MCF7|PC3|YAPC"
"2610"	"brexpiprazole$FL1"	"brexpiprazole"	"Signature_Correlation"	"HA1E|HT29|MCF7|PC3|YAPC"
"1801"	"bupivacaine$FL1"	"bupivacaine"	"Signature_Correlation"	"A375|HA1E|HELA|MCF7|PC3|YAPC"
"1802"	"butorphanol-(+)-tartrate$FL1"	"butorphanol-(+)-tartrate"	"Signature_Correlation"	"A375|PC3|YAPC"
"2611"	"butorphanol-(+)-tartrate$FL2"	"butorphanol-(+)-tartrate"	"Signature_Correlation"	"HA1E|HELA|HT29|MCF7"
"1803"	"caffeine$FL1"	"caffeine"	"Signature_Correlation"	"A375|HELA|MCF7|PC3"
"2612"	"caffeine$FL2"	"caffeine"	"Signature_Correlation"	"HA1E|HT29|YAPC"
"1804"	"camptothecin$FL1"	"camptothecin"	"Signature_Correlation"	"A375|HA1E|MCF7|PC3|YAPC"
"1805"	"cefoperazone$FL1"	"cefoperazone"	"Signature_Correlation"	"A375|HA1E|HELA|PC3|YAPC"
"1806"	"celecoxib$FL1"	"celecoxib"	"Signature_Correlation"	"A375|HA1E|MCF7|YAPC"
"2613"	"celecoxib$FL2"	"celecoxib"	"Signature_Correlation"	"HELA|HT29|PC3"
"1807"	"CGP-12177$FL1"	"CGP-12177"	"Signature_Correlation"	"A375|HA1E|HELA|PC3"
"2614"	"CGP-12177$FL2"	"CGP-12177"	"Signature_Correlation"	"HT29|MCF7|YAPC"
"1808"	"cholic-acid$FL1"	"cholic-acid"	"Signature_Correlation"	"A375|HA1E|HELA|HT29|MCF7|YAPC"
"1809"	"cilomilast$FL1"	"cilomilast"	"Signature_Correlation"	"A375|HA1E|YAPC"
"3236"	"cilomilast$FL2"	"cilomilast"	"Signature_Correlation"	"HT29|MCF7|PC3"
"2615"	"CL-218872$FL1"	"CL-218872"	"Signature_Correlation"	"HA1E|HELA|MCF7|PC3|YAPC"
"1810"	"clofoctol$FL1"	"clofoctol"	"Signature_Correlation"	"A375|HELA|MCF7|PC3"
"2616"	"clofoctol$FL2"	"clofoctol"	"Signature_Correlation"	"HA1E|HT29|YAPC"
"1811"	"clonazepam$FL1"	"clonazepam"	"Signature_Correlation"	"A375|HELA|HT29|YAPC"
"2617"	"clonazepam$FL2"	"clonazepam"	"Signature_Correlation"	"HA1E|MCF7|PC3"
"1812"	"clozapine$FL1"	"clozapine"	"Signature_Correlation"	"A375|HA1E|HELA|HT29|YAPC"
"1813"	"cobimetinib$FL1"	"cobimetinib"	"Signature_Correlation"	"A375|HELA|HT29|MCF7|YAPC"
"1814"	"colchicine$FL1"	"colchicine"	"Signature_Correlation"	"A375|HA1E|PC3"
"2618"	"colchicine$FL2"	"colchicine"	"Signature_Correlation"	"HELA|HT29|MCF7"
"1815"	"conivaptan$FL1"	"conivaptan"	"Signature_Correlation"	"A375|HELA|HT29|MCF7|PC3|YAPC"
"1816"	"cyclobenzaprine$FL1"	"cyclobenzaprine"	"Signature_Correlation"	"A375|MCF7|PC3|YAPC"
"2619"	"cyclobenzaprine$FL2"	"cyclobenzaprine"	"Signature_Correlation"	"HA1E|HELA|HT29"
"1817"	"dasabuvir$FL1"	"dasabuvir"	"Signature_Correlation"	"A375|HELA|HT29|MCF7|YAPC"
"1818"	"dexloxiglumide$FL1"	"dexloxiglumide"	"Signature_Correlation"	"A375|HA1E|HELA|HT29|PC3|YAPC"
"1819"	"diphenidol$FL1"	"diphenidol"	"Signature_Correlation"	"A375|HA1E|HELA|PC3|YAPC"
"2620"	"DPCPX$FL1"	"DPCPX"	"Signature_Correlation"	"HA1E|HELA|HT29|MCF7|PC3|YAPC"
"2621"	"drospirenone$FL1"	"drospirenone"	"Signature_Correlation"	"HA1E|HELA|HT29|PC3|YAPC"
"1820"	"efaproxiral$FL1"	"efaproxiral"	"Signature_Correlation"	"A375|HELA|PC3|YAPC"
"2622"	"efaproxiral$FL2"	"efaproxiral"	"Signature_Correlation"	"HA1E|HT29|MCF7"
"1821"	"efavirenz$FL1"	"efavirenz"	"Signature_Correlation"	"A375|HA1E|HELA|HT29"
"2623"	"efavirenz$FL2"	"efavirenz"	"Signature_Correlation"	"MCF7|PC3|YAPC"
"1822"	"epirizole$FL1"	"epirizole"	"Signature_Correlation"	"A375|HA1E|MCF7|PC3"
"2624"	"epirizole$FL2"	"epirizole"	"Signature_Correlation"	"HELA|HT29|YAPC"
"1823"	"epitiostanol$FL1"	"epitiostanol"	"Signature_Correlation"	"A375|HELA|PC3"
"2625"	"epitiostanol$FL2"	"epitiostanol"	"Signature_Correlation"	"HA1E|HT29|MCF7|YAPC"
"2626"	"estramustine-phosphate$FL1"	"estramustine-phosphate"	"Signature_Correlation"	"HA1E|HT29|MCF7|PC3|YAPC"
"1824"	"estrone$FL1"	"estrone"	"Signature_Correlation"	"A375|HA1E|HT29|MCF7|PC3"
"1825"	"ethinyl-estradiol$FL1"	"ethinyl-estradiol"	"Signature_Correlation"	"A375|HELA|PC3"
"2627"	"ethinyl-estradiol$FL2"	"ethinyl-estradiol"	"Signature_Correlation"	"HA1E|HT29|YAPC"
"1826"	"etoposide$FL1"	"etoposide"	"Signature_Correlation"	"A375|HA1E|HELA"
"2628"	"etoposide$FL2"	"etoposide"	"Signature_Correlation"	"HT29|PC3|YAPC"
"1827"	"famotidine$FL1"	"famotidine"	"Signature_Correlation"	"A375|HA1E|HELA"
"2629"	"famotidine$FL2"	"famotidine"	"Signature_Correlation"	"HT29|MCF7|YAPC"
"1828"	"flutrimazole$FL1"	"flutrimazole"	"Signature_Correlation"	"A375|MCF7|PC3"
"2630"	"flutrimazole$FL2"	"flutrimazole"	"Signature_Correlation"	"HA1E|HT29|YAPC"
"2631"	"fulvestrant$FL1"	"fulvestrant"	"Signature_Correlation"	"HELA|HT29|MCF7|YAPC"
"1829"	"gemifloxacin$FL1"	"gemifloxacin"	"Signature_Correlation"	"A375|PC3|YAPC"
"2632"	"gemifloxacin$FL2"	"gemifloxacin"	"Signature_Correlation"	"HA1E|HELA|HT29|MCF7"
"1830"	"GSK-256066$FL1"	"GSK-256066"	"Signature_Correlation"	"A375|HELA|HT29|YAPC"
"2633"	"GSK-256066$FL2"	"GSK-256066"	"Signature_Correlation"	"HA1E|MCF7|PC3"
"2634"	"histamine$FL1"	"histamine"	"Signature_Correlation"	"HA1E|HELA|HT29|PC3|YAPC"
"1831"	"imipramine$FL1"	"imipramine"	"Signature_Correlation"	"A375|HA1E|HELA|HT29|YAPC"
"1832"	"indole-3-carbinol$FL1"	"indole-3-carbinol"	"Signature_Correlation"	"A375|HELA|MCF7"
"2635"	"indole-3-carbinol$FL2"	"indole-3-carbinol"	"Signature_Correlation"	"HA1E|HT29|PC3|YAPC"
"2636"	"isofloxythepin$FL1"	"isofloxythepin"	"Signature_Correlation"	"HA1E|HELA|HT29|PC3|YAPC"
"1833"	"KBG$FL1"	"KBG"	"Signature_Correlation"	"A375|HT29|MCF7|PC3|YAPC"
"1834"	"ketorolac$FL1"	"ketorolac"	"Signature_Correlation"	"A375|HA1E|HELA|HT29|YAPC"
"1835"	"KW-2478$FL1"	"KW-2478"	"Signature_Correlation"	"A375|HA1E|HELA"
"2637"	"KW-2478$FL2"	"KW-2478"	"Signature_Correlation"	"HT29|MCF7|PC3|YAPC"
"1836"	"lamivudine$FL1"	"lamivudine"	"Signature_Correlation"	"A375|HELA|HT29|MCF7|YAPC"
"1837"	"lenvatinib$FL1"	"lenvatinib"	"Signature_Correlation"	"A375|HA1E|HELA"
"2638"	"lenvatinib$FL2"	"lenvatinib"	"Signature_Correlation"	"HT29|PC3|YAPC"
"3237"	"lersivirine$FL1"	"lersivirine"	"Signature_Correlation"	"HT29|MCF7|YAPC"
"1838"	"levosimendan$FL1"	"levosimendan"	"Signature_Correlation"	"A375|HELA|HT29|MCF7|YAPC"
"1839"	"lofexidine$FL1"	"lofexidine"	"Signature_Correlation"	"A375|MCF7|YAPC"
"2639"	"lofexidine$FL2"	"lofexidine"	"Signature_Correlation"	"HA1E|HELA|HT29"
"1840"	"mepivacaine$FL1"	"mepivacaine"	"Signature_Correlation"	"A375|HA1E|HELA"
"2640"	"mepivacaine$FL2"	"mepivacaine"	"Signature_Correlation"	"HT29|MCF7|PC3|YAPC"
"2641"	"minaprine$FL1"	"minaprine"	"Signature_Correlation"	"HA1E|HT29|MCF7"
"2642"	"MK-0773$FL1"	"MK-0773"	"Signature_Correlation"	"HA1E|HELA|MCF7|PC3|YAPC"
